run,spindle_rpm,feed_speed_mm_s,sample_id,max_chipping_size_um
1,30000,50,1,4.7
1,30000,50,2,5.2
1,30000,50,3,6.1
1,30000,50,4,5.8
1,30000,50,5,7.0
1,30000,50,6,5.9
1,30000,50,7,6.4
1,30000,50,8,7.6
1,30000,50,9,5.5
1,30000,50,10,6.8
2,30000,150,1,7.8
2,30000,150,2,8.6
2,30000,150,3,9.2
2,30000,150,4,10.4
2,30000,150,5,8.9
2,30000,150,6,11.6
2,30000,150,7,9.8
2,30000,150,8,12.3
2,30000,150,9,10.7
2,30000,150,10,8.4
3,50000,50,1,3.8
3,50000,50,2,4.1
3,50000,50,3,4.5
3,50000,50,4,4.9
3,50000,50,5,5.2
3,50000,50,6,4.3
3,50000,50,7,4.6
3,50000,50,8,5.1
3,50000,50,9,4.0
3,50000,50,10,4.7
4,50000,150,1,5.6
4,50000,150,2,6.1
4,50000,150,3,6.8
4,50000,150,4,7.2
4,50000,150,5,8.1
4,50000,150,6,6.9
4,50000,150,7,7.5
4,50000,150,8,8.7
4,50000,150,9,7.0
4,50000,150,10,6.4
